,sentences
8581,Revert back with the test reports to an orthopaedician and traumatologist online --> https://www.icliniq.com/ask-a-doctor-online/orthopaedician-and-traumatologist
8680,He recommended us UTI course.
8706,Child Abuse
8801,I hope this will help you in understanding her problem.
8809,You have diabetes mellitus and your weight is high as well.
8829,Check your sugar frequently.
8843,"For the last few weeks, I have experienced slight ear pain and symptoms of tinnitus."
8848,Stretch your ear a bit and you can try putting your little finger inside your ear and move it 10 -15 times.
8879,They increase during the summer and varies according to menstrual cycle.
8896,"For your breathing difficulty problem, chest x-ray, EKG, and spirometry like investigation planned according to the need and after discussion with your doctor."
8902,I am 48 years old and I have removed my uterus eight years back.
8931,"Some people using Oxandrolone have developed life-threatening side effects on the liver, spleen, and blood vessels."
9072,Her molar teeth is coming on both left and right side.
9219,"Now, I am still on Montelukast + Cetirizine once tablet once a day, and Loratadine 10 mg one tablet once a day at bedtime."
9322,"I have experienced blood clots, but these were different."
9344,No improvement since seven days and then he gave Acetylcysteine 600 mg.
9372,"IgE, IgG and IgA antibodies normal, IgE skin prick testing normal, C1 inhibitor slightly low, cortisol low (ACTH stim test not performed), fasting hypoglycemia (testing for insulinoma negative so far), and I have mild heart dysfunction (diastolic)."
9412,Nothing to worry.
9472,Welcome to Icliniq.
9584,These teeth are impacted and they will not come out normally and will cause discomfort repeatedly.
9869,"The vomiting stopped, but I still experience the symptoms and not gaining any weight."
9947,"I am suffering from anxiety around the health issues, cancer and tend to obsess about things."
9974,"I do not mean there is a serious risk, but caution is warranted."
10009,I believe when I chewed some crackers one of my fillings got loosened.
10031,She also snores a little.
10088,Can they force me to do the test?
10152,Although this is not the part of the question I like to draw your attention to the suboptimal dose of Effexor for someone who has depression over the 30 years.
10184,Thank you so much in advance!
10205,"for your family, I would advice that corona may continue for few more months as claimed by many studies, so u may have difficulty in visiting hospital for routine visits."
10261,I am 18 weeks 2 days pregnant.
10291,I am a smoker.
10319,I have gone through the query with keen interest and understand your concerns.
10419,"Also, When I move my eyes towards left, my left eyeball goes little upward than the right."
10494," Home remedies I have tried so far: Aloe vera (not much help), Tea tree oil (irritated it), Manuka oil (helps healing where the sore is but seem to irritate the new flare up), Coconut oil (irritated it), Almond oil (seems to soothening it at the moment)."
10629,"I suggest taking Omeprazole 20 mg, 1 capsule 30 minutes prior to breakfast but may take one dose today."
10732,"I do not have any health problems like cough, fever, and pain."
10817,Do you feel any small lump behind the nipples?
10857,I had done some medical tests recently and the liver turned out to be a bit problematic for me.
10951,I am a male aged 52yrs weight 80kg diabitic my doctor has recently advised me gabapentin nt 400 for neuropathy earlier i was on pregab150 so while checking about the reviews from the patients on net i found that 99% were against gabapentin which confused me and thought to have a 2nd opinion kindly advise
10983,So recheck again tomorrow with a morning sample of urine.
10997,"In addition, Senokot also causes diarrhea."
11011,As I am near to delivery is it safe to take these tablets?
11041,"Still, many possibilities are there."
11146,"It would be helpful if you could share the ultrasound reports (pre and post-abortion), and the dates of the events along with the date of doing beta hCG levels to have a better idea of your situation."
11382,"Hello, I welcome you to icliniq."
11396,of medication as many times as I tried to stop paroxetine (seroxat) in collaboration with my psychiatrist of course my body reacted with nausea dizziness and other similar symptoms.
11417,Humira and biologic medications like this work for a while before losing effect till the time of next dose.
11464,"Then used Cosvate GM, Ketoclean and Keto Soap."
11491,Please do not go to Finasteride straight away.
11573,"I would like to know if you have any other medical conditions like diabetes, stroke, high cholesterol or a heart attack to determine your blood pressure goal according to the latest guidelines."
11642,They take advantage of me.
11643,They never heed my words.
11695,"I have consulted the doctor, he confirmed my pregnancy and prescribed me capsule Gestafine 200 (Progesterone soft gelatin 200) one capsule per day for 15 days and Folvite 5 mg one tablet per day for 15 days."
11754,I am having headache which got severe nowadays .
11791,You should also stop any addictions like smoking or alcohol if any.
11844,Just break the vial and take it by mouth.
11859,"Functional GI problem One dose of injection Indrop 2 lac units by mouth, tablet Rifxamin 200 mg thrice daily for three weeks."
11883,Is this classic signs of GERD?
11906,It is not a definite sign of heart disease.
11980,Any relationship issue?
12142,Do the rashes stay at bay then?
12159,I have a case of diarrhea since yesterday and I have gone to the loo quite a few times.
12247,"I will suggest laxatives to you but it will be better to consult your cardiologist too, for the shift of Calciguard retard to another drug because calcium channel blockers can frequently cause constipation."
12275,Hi Thanks for your query It’s good to see ur sugars are good with HBA1c 6.4.
12289,Plenty of fluids is advisable and antibiotics have to be taken on basis of your culture report.
12358,"Again, as long as I am lying flat I do not feel it at all but if I try to move side to side I feel excruciating pain."
12382,I have to stop and think for a while to continue the conversation.
12409,"In the hospital, the doctors say that the liquid in her abdominal cavity cannot be drained with normal methods because of the density of it."
12459,"I have been to doctors here, but I am not satisfied."
12468,"This is a chronic condition characterized by symptoms like chronic throat irritation, feeling of something stuck down the throat, frequent clearing of the throat and excessive throat mucous."
12662,"Or this could be a very early stage of pregnancy where the levels are not sufficient enough to be detected in urine so gives a faint positive test, obviously at this stage usually the pregnancy may or may not be detected on USG (ultrasound)."
12690,Even full swing fan is causing sinus problem now.
12713,You can take Cymbalta and Seroquel.
12766,I used to go to an eye doctor when I was little but I cannot remember when I last went.
12803,"Avoid lifting weights or jerks to the neck, and avoid bad roads."
13150,I had a hard lump on the left lower back between top of the hip bone and lower ribs.
13351,This is extremely strange that at 25 years of age you suffered a cardiac arrest.
13650,I am on Zoloft every day and am doing well for the most part.
13726,If no improvement we can increase the dose or add some other medicines.
13805,From the available description there are two possibilities which need proper evaluation.
13829,Revert back with report and answer to the above question to an internal medicine physician online --> https://www.icliniq.com/ask-a-doctor-online/internal-medicine-physician
13850,"I was tested for paraneoplastic syndrome and came up as reactive on immunofluorescence, but negative ultimately on western blot."
13897,Her weight is 8.2 kg and height is 80 cm.
13954,This is not suppose to happen until a person gets older.
13959,"If not, then please forward it to me."
13960,Revert back with the reports to a urologist online --> https://www.icliniq.com/ask-a-doctor-online/urologist
13977,I also have some unusual taste in my mouth or tongue.
13979,"But, I have not had this before."
14014,My son is 3 and 9 months old.
14016,At the place where we live they speak a different language.
14040,But now he is good in that too.
14054,I had unprotected sex on the fourth day of my periods and I took a contraceptive pill within half an hour.
14218,She still has not got the permanent teeth until now.
14265,But if still your symptoms do not subside you may have to take antibiotics.
14422,"If it reaches up to 75% that is quite possible in the near future, then complications and consequences can be severe."
14537,The pain lasted for hours and continued as a dull ache for the next week.
14547,"I have had a dull ache since the initial attack, but I have not had any more excruciating pain."
14588,Is there any discharge serous or purulent?
14631,Do you have any other associated symptoms like painful menstruation?
14636,Any mental stress can cause even your having exams or any other stress-related activity can affect the regularity.
14734,"I want to add that dehydration, anxiety, panic attacks may cause chills too."
14869,You can consider the following treatment.
14904,I was discharged a week ago and told some COVID-19 patients have been coming back with DVT and or PE.
14910,Kindly answer the following questions to guide you further.
14921,"I can feel dizziness sometimes however, the result of my PT was negative."
14923,My husband and I are hoping to have a baby.
14928,I have a 16-year-old daughter who gets leg pains on a regular basis but not so frequent.
14973,"Bleeding irregularities that typically occur may include breakthrough bleeding (you are having this), spotting between periods, prolonged periods lighter or heavier periods than normal, lack of period (usually after one year)."
14979,"If not too severe, this is the most effective management strategy."
14980,"I have manageable shortness of breath, chest tightness but no cold."
15163,I have been feeling stiff since I have started studying again some days ago.
15194,My periods are not regular.
15228,Can you send me the x-ray report?
15275,"I would also like to ask you if it is associated with any leg pain or any other neurological symptoms like numbness, paraesthesias (electrical shock like abnormal sensations) or any weakness in limbs?"
15283,"Ice packs can be applied if your pain is acute, then hot fomentation can be done at home."
15319,"Tablet Folvite 5 mg daily, Doxinate plus (Doxylamine, Pyridoxine and Folic acid) two tablets at bedtime for 15 days (it reduces nausea and morning sickness)."
15332,Hi.i m 17 years old..my periods are irregular.and sometimes it lasts for 15 days sometimes 7 or sometimes4 days..from last month i got my periods for only 3 days with very light flow.. and now it again started but very minute..little..i dont know why its happening like this..plz help me.
15445,Urine culture was done and it was normal.
15485,"Obviously doctors are investigating possible lymphoma, so I would really appreciate your help and if you could take a good look at everything and tell us an opinion about the features of the examined organs."
15516,I did stop taking it for a while to see if it only happened with the birth control and upon getting back on it the symptoms have persisted.
15561,"It will double its value in an intrauterine pregnancy, meanwhile, the rise of b-HCG value in an ectopic pregnancy has another pattern less than a normal pregnancy."
15569,"According to your statement, your two years baby has been suffering from seizure which lasts for 15-30 seconds."
15645,"I have thyroid too, taking Euthyrox 75mg every morning Regards"
15649,That means ur not controlling ur sugar.
15710,I am 35 years old.
15740,I’ve tested several times sense and all have been positive.
15754,Small white little heads on my upper lip and on the foreskin of my penis they are visible only when i pull down my foreskin and they are located on my foreskin only.. they dont itch or hurt..i have searched and it loooks like fordyce spots
15757,"My question is, could the pain in the groin area and in testicles be caused by this herniated disc?"
15774,"Such changes in the cycle pattern that you had mentioned can occur with hormonal imbalance, stress, weight gain, changes in diet and exercise pattern, anemia, hypothyroidism, etc."
15791,Is it a throbbing type or tension-type?
15818,Do not think twice.
15839,This requires me to wait for a long time and continue pushing the urine out and then at the end I am using my fingers to squeeze the urethra to get out the last.
15841,"Also, sometimes after masturbating, I end up having to go every five minutes 5-10 times to let out a few more drops until it is all emptied out."
15941,Some days I have to go for even three times a day and it always feels like the food is not properly digested.
16002,Age : 33 Hieght : 5'7 wieght : 58 Kg
16034,"Secondly, an increase in intrathoracic pressure can also stimulate the vagus nerve resulting in vasovagal syncope causing a brief loss of consciousness."
16097,What did the ENT doctor say about you?
16210,For further doubts consult an eye care ophthalmologist online --> https://www.icliniq.com/ask-a-doctor-online/eye-care-ophthalmologist
16217,"i have fibromyalgia and chronic fatigue syndrome, and ibs but these symptoms don’t feel similar to what i usually experience."
16218,no other medications.
16242,Most will stop on their own or with simple first aid actions.
16306,The ideal management is surgery which may only involve a wide local excision.
16319,"The blood and mucus - which you describe a whitish layer, is common among patients suffering with proctitis."
16468,Tablet Ciprofloaxcin 500 mg twice daily for 5 days.
16512,Every medication has effects otherwise it will not be effective but we always weigh risk and benefits.
16526,Hello Welcome to icliniq - Loose motion ( diarrhoea) is common problem in young kids.
16543,ORS needs to be continued till loose stools stop -You can also give tender coconut water if available.
16553,"I have a severe toothache that prevents me from sleeping and eating, and there is a big hole in my teeth."
16566,The pain also extended to my left leg.
16635,"So, I would like to suggest you try a TCA (tricyclic antidepressants) class of antidepressants like Amitriptyline 75-100 mg, Dosulepine 100 mg, or Nortriptyline 75-100 mg."
16650,"First of all, after applying ice for 10-15 minutes ask someone to hold the finger from hand to the first joint."
16663,It has been going on for a few months now.
16676,Lab tests showed vitamin A 0.9 umol/L and vitamin D 37 nmol/L.
16683,"Total intake of up to 10,000 units daily is unlikely to cause any harmful effects."
16723,"In the morning, when I wake up and eat something, the itchiness or abrasion starts again."
16724,There is a slight redness in the throat and sometimes it pains feebly.
16756,It was painful and lasted for about 10 minutes.
16769,"Once structural causes are ruled out, you can be sure of the diagnosis."
16783,If you are having a susceptibility for throat infections you need to understand why it is happening.
16784,Having cold drinks or fluids bring down the body's immunity by shade and that is why it can attract a viral or bacterial infection.
16849,Avoid taking a high protein diet.
16925,You can use a breast pump to express milk from the larger breast.
16936,"From the above history, it is noted that you are having a strong family history of diabetes and also you have been noted with prediabetic range blood sugars in the past."
16973,"For over four months, I have been experiencing vaginal discharge that has an offensive smell."
17033,I have recurrent folliculitis.
17061,"Oral or inhaled corticosteroids, Ipratropium, or cough suppressants may be prescribed to help with sleep."
17197,Proper foot hygiene.
17199,You might get a little diarrhea after taking the tablet Augmentin which will subside once you stop the drugs.
17245,I need to know more about the symptoms.
17289,"Overall, if you are not having fever, loose stools, severe abdominal pain and vomiting and headache is not continuous, then nothing much to worry about."
17298,As you have already mentioned there is a cavity and when it reaches up to the pulp there develops an irreversible stage which generally is more painful during night time as we sleep.
17367,"There is a sort of pink-colored oval, slightly raised, flat patch on my bikini line, and it is very painful."
17407,I am suffering from severe constipation for the past 10 days.
17446,"Avoid spices,fried,outside meals .Take liquid or soft food for 2,3 days At least and eat less."
17467,"physiological, due to roomy vagina vaginal fart reassurance revert back, if any queries.."
17571,I was wondering if my dentist is giving me false information because she is scared as she will ruin my teeth.
17579,I also noticed that these particular teeth are slanted inwards towards my tongue rather than being straight like the rest of my teeth.
17602,He also has some memory problem due to over consumption of alcohol.
17634,"In the past, I had balanitis, which happened due to taking Ofloxin and Ornidazole."
17706,Since then my teeth have been healthy but I have been suffering from an eating disorder for three years and I am still in recovery.
17784,"Also, is it safe for me to take vitamin B complex supplements?"
17813,Valsalva exercise 15 to 20 times a day.
17854,Very tired.
17877,Phimosis is a condition in which the foreskin is too tight to be pulled back over the head or glans of the penis.
17938,Once you exhaust the above medical treatment option and find no or not much benefit we can discuss about the surgery.
18005,Does my condition need immediate medical care?
18081,"Obesity, smoking, drugs, pregnancy."
18082,CBC (complete blood couont).
18128,Kindly send the pictures.
18307,So first of all cylinderical change from -0.75 to -1.25 is not significant and most probably it was due to interobserver variation.
18351,After the delivery these spots have come.
18396,I must point out that epistaxis can be idiopathic in more than 50% patients.
18458,"Allopurinol is started with caution if there is liver disease, kidney disease, diabetes, congestive heart failure, and high blood pressure."
18493,"But however, it is important to rule out other causes of elevated liver enzymes (SGOT, SGPT, ALP) like hepatitis, HELLP syndrome (syndrome of hemolysis, elevated liver enzymes, and low platelet count)."
18505,"The medication I am taking are Asprito 40mg, Olimelt 10 mg and Divaa OD 750 mg."
18589,The nails themselves are also somewhat cracked and do not look good.
18635,Do not use q tips as they worsen the existing problem by introducing more disease since the q tips are often not sterilized.
18665,"I am not too sure of the area, because it is hard to pinpoint."
18673,"In the past, I had senseless and intrusive images popping in my head that I am kissing a guy whenever I used to be with my male friends."
18685,Whenever I see him I feel something different as if I am looking a girl.
18689,Your previous symptom of seeing images of kissing a guy was an obsession.
18753,I had two Benadryl tablets and Hydrocortisone for the rashes.
18840,My skin in general was fine.
18912,So this whole week I kept checking my cervical mucus and did some ovulation tests.
19005,So as to give you the right treatment.
19037,"Hello doctor, I am having an allergic reaction on both of my feet."
19124,What further helps you to restore your gut bacterial composition is to opt for natural selection.
19132,"If we could do further for you, we will definitely do but it depends how you take the things from here."
19218,"All other results including CBC are normal, PSA and AFP, as well as HCG are negative, sexual hormones panel is normal."
19257,My neurologist said that it is impossible its ALS because muscle twitching for nearly eight months without any weakness.
19258,And I started to have so tingling and buzzing sensation.
19264,Is it true that usually fasciculations come after or along with the weakness in ALS?
19270,"Fasciculations without weakness ruled out ALS, eight months are a long duration for ALS, if it would have been ALS, it would have progressed to much extent."
19278,I just took 2 pregnancy test this 26th and it's positive.
19329,Do you have any weight loss with it?
19348,I am also worried about my children who are both under the age of two.
19367,Mole or nevi as called in medical term appearing in adult age like in you are always a risk factor.
19406,Once this pandemic of Covid-19 gets subside then you can get it treated in a dental clinic.
19507,"If i press the back of my ear, it would really hurt."
19562,the place becoming red and after a few days it burst.
19640,1) Thyroid function test.
19691,I took i-pill on 17th of last month and had a withdrawal bleeding on the 27th.
19694,Do I need to take i-pill again or is this safe period?
19721,good shape.
19725,overheated during the days.
19772,There are 2 ways of sorting it out.
19912,On the fifth day I felt like my body has no energy at all.
19920,You have two problems: 1.
20105,"Dear, Hope you are doing well Very nice question at a very young age i must say Diet / things to avoid Things to eat more   If i come specifically for avoidance of prostate cancer then in non veg fish (salmon, sardines) as these containers omega 3 fatty acids, berries (strawberry, blueberries, raspberry, blackberry) as they contain antioxidants, green tea as again contains antioxidants, Broccoli contains phytochemical, tomatoes as it contains Lycopene which is also good antioxidant."
20135,Is it sensitive to touch?
20303,Gastritis/ulcer disease can cause severe pain and sometimes bleeding in the upper abdomen.
20308,It also responds well to omeprazole.
20337,"Tylenol is alright, it helps with the fever, and generalized symptoms, also safe while breastfeeding."
20349,Stay positive and everything should be fine hopefully.
20365,"This, however, does not explain the brain fog, tension, and fatigue."
20398,1. neck stretch 2. neck tilt 3. neck turn 4. head rotation.
20414,I reviewed the history and MRCP report of your mother.
20436,pain start anytime throungout the day .
20455,Between shoulder and elbow?
20456,At elbow?
20460,What kind of pain is it?
20709,Do you have a burning epigastric sensation?
20718,I have stopped the Anavar as soon as I found out.
20751,What about female members of the family?
20788,"So support them, ice them up so that spasm gets reduced and neck feels better."
20875,"No cold, no cough, no fever and no difficulty in breathing."
20897,Have you lost or gained weight recently?
20939,"Tonight while looking at my throat, I discovered my right tonsil is swollen, lumpy, and covered in a thick, white layer of skin."
21025,Are implant supported bridges good?
21052,My fasting plasma glucose is 226 mg/dL and in PP it is 390 mg/dL.
21113,So pls wait for the result.Theres no need to panic.
21148,It looks a bit swollen and it is sensitive to touch.
